freguesia,classification,listings,identifiable_licences,establishments_estimate
Ajuda,licença oficial fora de Lisboa,8,8,0
Ajuda,licença repetida em várias localizações,7,7,0
Ajuda,licença repetida na mesma localização,6,6,0
Ajuda,licença única em Lisboa,113,113,0
Ajuda,provável estabelecimento com anúncios múltiplos,52,52,0
Ajuda,sem licença identificável,58,0,0
Alcntara,licença oficial fora de Lisboa,7,7,0
Alcntara,licença repetida em várias localizações,13,13,0
Alcntara,licença repetida na mesma localização,6,6,0
Alcntara,licença única em Lisboa,131,131,0
Alcntara,provável estabelecimento com anúncios múltiplos,53,53,0
Alcntara,sem licença identificável,75,0,0
Alvalade,licença oficial fora de Lisboa,10,10,0
Alvalade,licença repetida em várias localizações,19,19,0
Alvalade,licença repetida na mesma localização,2,2,0
Alvalade,licença única em Lisboa,84,84,0
Alvalade,provável estabelecimento com anúncios múltiplos,53,53,0
Alvalade,sem licença identificável,90,0,0
Areeiro,licença oficial fora de Lisboa,12,12,0
Areeiro,licença repetida em várias localizações,63,63,0
Areeiro,licença única em Lisboa,66,66,0
Areeiro,provável estabelecimento com anúncios múltiplos,131,131,0
Areeiro,sem licença identificável,194,0,0
Arroios,licença oficial fora de Lisboa,84,84,0
Arroios,licença repetida em várias localizações,125,125,0
Arroios,licença repetida na mesma localização,30,30,0
Arroios,licença única em Lisboa,689,689,0
Arroios,provável estabelecimento com anúncios múltiplos,672,672,0
Arroios,sem licença identificável,554,0,0
Avenidas Novas,licença oficial fora de Lisboa,30,30,0
Avenidas Novas,licença repetida em várias localizações,82,82,0
Avenidas Novas,licença repetida na mesma localização,9,9,0
Avenidas Novas,licença única em Lisboa,163,163,0
Avenidas Novas,provável estabelecimento com anúncios múltiplos,213,213,0
Avenidas Novas,sem licença identificável,366,0,0
Beato,licença oficial fora de Lisboa,8,8,0
Beato,licença repetida em várias localizações,7,7,0
Beato,licença repetida na mesma localização,2,2,0
Beato,licença única em Lisboa,49,49,0
Beato,provável estabelecimento com anúncios múltiplos,33,33,0
Beato,sem licença identificável,32,0,0
Belm,licença oficial fora de Lisboa,15,15,0
Belm,licença repetida na mesma localização,15,15,0
Belm,licença única em Lisboa,121,121,0
Belm,provável estabelecimento com anúncios múltiplos,58,58,0
Belm,sem licença identificável,72,0,0
Benfica,licença oficial fora de Lisboa,6,6,0
Benfica,licença repetida em várias localizações,4,4,0
Benfica,licença única em Lisboa,32,32,0
Benfica,provável estabelecimento com anúncios múltiplos,7,7,0
Benfica,sem licença identificável,32,0,0
Campo de Ourique,licença oficial fora de Lisboa,23,23,0
Campo de Ourique,licença repetida em várias localizações,11,11,0
Campo de Ourique,licença repetida na mesma localização,16,16,0
Campo de Ourique,licença única em Lisboa,162,162,0
Campo de Ourique,provável estabelecimento com anúncios múltiplos,78,78,0
Campo de Ourique,sem licença identificável,183,0,0
Campolide,licença oficial fora de Lisboa,13,13,0
Campolide,licença repetida em várias localizações,17,17,0
Campolide,licença repetida na mesma localização,4,4,0
Campolide,licença única em Lisboa,90,90,0
Campolide,provável estabelecimento com anúncios múltiplos,115,115,0
Campolide,sem licença identificável,74,0,0
Carnide,licença repetida na mesma localização,2,2,0
Carnide,licença única em Lisboa,22,22,0
Carnide,provável estabelecimento com anúncios múltiplos,2,2,0
Carnide,sem licença identificável,7,0,0
Estrela,licença oficial fora de Lisboa,29,29,0
Estrela,licença repetida em várias localizações,36,36,0
Estrela,licença repetida na mesma localização,28,28,0
Estrela,licença única em Lisboa,443,443,0
Estrela,provável estabelecimento com anúncios múltiplos,181,181,0
Estrela,sem licença identificável,257,0,0
Lumiar,licença oficial fora de Lisboa,1,1,0
Lumiar,licença repetida em várias localizações,4,4,0
Lumiar,licença única em Lisboa,52,52,0
Lumiar,provável estabelecimento com anúncios múltiplos,15,15,0
Lumiar,sem licença identificável,66,0,0
Marvila,licença oficial fora de Lisboa,5,5,0
Marvila,licença repetida em várias localizações,2,2,0
Marvila,licença repetida na mesma localização,2,2,0
Marvila,licença única em Lisboa,42,42,0
Marvila,provável estabelecimento com anúncios múltiplos,17,17,0
Marvila,sem licença identificável,38,0,0
Misericrdia,licença oficial fora de Lisboa,72,72,0
Misericrdia,licença repetida em várias localizações,97,97,0
Misericrdia,licença repetida na mesma localização,84,84,0
Misericrdia,licença única em Lisboa,1358,1358,0
Misericrdia,provável estabelecimento com anúncios múltiplos,482,482,0
Misericrdia,sem licença identificável,495,0,0
Olivais,licença oficial fora de Lisboa,2,2,0
Olivais,licença repetida em várias localizações,2,2,0
Olivais,licença repetida na mesma localização,2,2,0
Olivais,licença única em Lisboa,60,60,0
Olivais,provável estabelecimento com anúncios múltiplos,38,38,0
Olivais,sem licença identificável,93,0,0
Parque das Naes,licença oficial fora de Lisboa,23,23,0
Parque das Naes,licença repetida em várias localizações,12,12,0
Parque das Naes,licença repetida na mesma localização,8,8,0
Parque das Naes,licença única em Lisboa,132,132,0
Parque das Naes,provável estabelecimento com anúncios múltiplos,19,19,0
Parque das Naes,sem licença identificável,141,0,0
Penha de Frana,licença oficial fora de Lisboa,26,26,0
Penha de Frana,licença repetida em várias localizações,49,49,0
Penha de Frana,licença repetida na mesma localização,14,14,0
Penha de Frana,licença única em Lisboa,208,208,0
Penha de Frana,provável estabelecimento com anúncios múltiplos,174,174,0
Penha de Frana,sem licença identificável,169,0,0
Santa Clara,licença oficial fora de Lisboa,3,3,0
Santa Clara,licença repetida em várias localizações,1,1,0
Santa Clara,licença única em Lisboa,7,7,0
Santa Clara,sem licença identificável,26,0,0
Santa Maria Maior,licença oficial fora de Lisboa,98,98,0
Santa Maria Maior,licença repetida em várias localizações,102,102,0
Santa Maria Maior,licença repetida na mesma localização,173,173,0
Santa Maria Maior,licença única em Lisboa,1977,1977,0
Santa Maria Maior,provável estabelecimento com anúncios múltiplos,642,642,0
Santa Maria Maior,sem licença identificável,580,0,0
Santo Antnio,licença oficial fora de Lisboa,53,53,0
Santo Antnio,licença repetida em várias localizações,102,102,0
Santo Antnio,licença repetida na mesma localização,39,39,0
Santo Antnio,licença única em Lisboa,559,559,0
Santo Antnio,provável estabelecimento com anúncios múltiplos,323,323,0
Santo Antnio,sem licença identificável,410,0,0
So Domingos de Benfica,licença oficial fora de Lisboa,10,10,0
So Domingos de Benfica,licença repetida em várias localizações,9,9,0
So Domingos de Benfica,licença repetida na mesma localização,2,2,0
So Domingos de Benfica,licença única em Lisboa,65,65,0
So Domingos de Benfica,provável estabelecimento com anúncios múltiplos,14,14,0
So Domingos de Benfica,sem licença identificável,59,0,0
So Vicente,licença oficial fora de Lisboa,31,31,0
So Vicente,licença repetida em várias localizações,49,49,0
So Vicente,licença repetida na mesma localização,58,58,0
So Vicente,licença única em Lisboa,650,650,0
So Vicente,provável estabelecimento com anúncios múltiplos,195,195,0
So Vicente,sem licença identificável,267,0,0
