freguesia,listings,identifiable_licences,establishments_estimate
Ajuda,244,186,205
Alcntara,285,210,242
Alvalade,258,168,220
Areeiro,466,272,365
Arroios,2154,1600,1623
Avenidas Novas,863,497,685
Beato,131,99,106
Belm,281,209,232
Benfica,81,49,76
Campo de Ourique,473,290,416
Campolide,313,239,214
Carnide,33,26,31
Estrela,974,717,829
Lumiar,138,72,129
Marvila,106,68,96
Misericrdia,2588,2093,2201
Olivais,197,104,170
Parque das Naes,335,194,316
Penha de Frana,640,471,503
Santa Clara,37,11,37
Santa Maria Maior,3572,2992,3015
Santo Antnio,1486,1076,1223
So Domingos de Benfica,159,100,149
So Vicente,1250,983,1098
